Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Channel,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments
,,A69-1105-104,104,,,5/20/2008,,10/16/2014,V16P-6H,,,VIMS,Chris Hager,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, VA",,,,,,Surgical implant,
,3681,,,,,2/23/2012,715,2/7/2014,V16-4H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
,3677,,,,,2/23/2012,715,2/7/2014,V16-4H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
,2881,,,,,2/23/2012,715,2/7/2014,V16-4H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
,,A69-1105-103,103,,,9/12/2008,,2/8/2015,V16P-6H,,,VIMS,Chris Hager,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, VA",,,,,,Surgical implant,
,,A69-1105-101,101,,,5/30/2008,,10/26/2014,V16P-6H,,,VIMS,Chris Hager,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, VA",,,,,,Surgical implant,
,,A69-1105-105,105,,,5/23/2008,,10/19/2014,V16P-6H,,,VIMS,Chris Hager,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, VA",,,,,,Surgical implant,
,4754,,,,,2/23/2012,715,2/7/2014,V16-4H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
,,A69-1105-102,102,,,5/21/2008,,10/17/2014,V16P-6H,,,VIMS,Chris Hager,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, VA",,,,,,Surgical implant,
A69-1206-1370,1370,A69-1206-406,406,,,5/10/2013,420,7/4/2014,Sonotronics,Standard,,University of Rhode Island,Mary-Jane James-Pirri,,Horseshoe crab,Limulus polyphemus,"Gateway National Recreation Area, Jamaica Bay, Brookyln, NY",,,,,,External Adhesive,
