Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments,Array Affiliation
A69-1601-30209,30209,,,,,8/21/2012,1117,9/12/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30218,30218,,,,,8/21/2012,1117,9/12/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30210,30210,,,,,9/6/2012,1117,9/27/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30223,30223,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30236,30236,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30207,30207,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30235,30235,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Black Drum,Pogonias cromis,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30213,30213,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Black Drum,Pogonias cromis,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30227,30227,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Red Drum,Sciaenops ocellatus,"New River, North Carolina",,,,Yes,,Internal,,
A69-1601-30229,30229,,,,,9/13/2012,1117,10/5/2015,V13-1L,Standard,University of North Carolina Chapel Hill,Matt Kenworthy,Jacob Krouse,Black Drum,Pogonias cromis,"New River, North Carolina",,,,Yes,,Internal,,
