Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Channel,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments
A69-1601-24786,24786,,,,,,1233,5/17/1903,V16-4x,,,U.S. Department of the Navy,Carter Watterson,,Green turtle,Chelonia mydas,,,,,,,External on rear carapace with epoxy,
A69-1601-9077,9077,,,,,,3390,4/12/1909,V16-5x,,,U.S. Department of the Navy,Carter Watterson,,Loggerhead turtle,Caretta caretta,Atlantic Ocean off Virginia,,,,,,External on rear carapace with epoxy,
A69-9002-5757,5757,,,,,7/19/2011,81,10/8/2011,V9-AP,Acceleration,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5756,5756,,,,,7/13/2011,81,10/2/2011,V9-AP,Pressure,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5755,5755,,,,,7/13/2011,81,10/2/2011,V9-AP,Acceleration,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5754,5754,,,,,7/13/2011,81,10/2/2011,V9-AP,Pressure,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5753,5753,,,,,7/13/2011,81,10/2/2011,V9-AP,Acceleration,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5752,5752,,,,,7/20/2011,81,10/9/2011,V9-AP,Pressure,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5751,5751,,,,,7/20/2011,81,10/9/2011,V9-AP,Acceleration,,MA Division of Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-3487,3487,,,,,10/24/2011,221,6/1/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3486,3486,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3485,3485,,,,,10/28/2011,221,6/5/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3484,3484,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3483,3483,,,,,10/21/2011,221,5/29/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3482,3482,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3481,3481,,,,,11/5/2011,221,6/13/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3480,3480,,,,,11/3/2011,221,6/11/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3479,3479,,,,,11/5/2011,221,6/13/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3478,3478,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3477,3477,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3476,3476,,,,,11/3/2011,221,6/11/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3475,3475,,,,,11/11/2011,221,6/19/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3474,3474,,,,,10/21/2011,221,5/29/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3473,3473,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3472,3472,,,,,10/28/2011,221,6/5/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3471,3471,,,,,11/6/2011,221,6/14/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3470,3470,,,,,10/24/2011,221,6/1/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3469,3469,,,,,11/11/2011,221,6/19/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3468,3468,,,,,10/27/2011,221,6/4/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-1303-54039,54039,,,,,2/6/2009,,1/7/2011,V16-5H-R64K,,,SC Department of Natural Resouces,Bill Post,,Shortnose sturgeon,Acipenser brevirostrum,Savannah River,,,,,,surgical implant,
A69-1303-54032,54032,,,,,2/13/2009,,1/14/2011,V16-5H-R64K,,,SC Department of Natural Resouces,Bill Post,,Shortnose sturgeon,Acipenser brevirostrum,Savannah River,,,,,,surgical implant,
A69-1303-54035,54035,,,,,2/13/2009,,1/14/2011,V16-5H-R64K,,,SC Department of Natural Resouces,Bill Post,,Shortnose sturgeon,Acipenser brevirostrum,Savannah River,,,,,,surgical implant,
A69-1303-54036,54036,,,,,2/13/2009,,1/14/2011,V16-5H-R64K,,,SC Department of Natural Resouces,Bill Post,,Shortnose sturgeon,Acipenser brevirostrum,Savannah River,,,,,,surgical implant,
