Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Channel,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments
A69-1303-245,245,,,,,,371,,V16-5h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Loggerhead turtle,Caretta caretta,,,,,,,External,
A69-1303-246,246,,,,,,371,,V16-5h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Loggerhead turtle,Caretta caretta,,,,,,,External,
A69-1303-223,223,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-224,224,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-225,225,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-226,226,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-227,227,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-228,228,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-229,229,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1303-230,230,,,,,,,,V9-2h,Standard,A69-1303,SC Department of Natural Resouces,Michael D. Arendt,,Diamondback terrapin,Malaclemys terrapin,"Charleston, SC",,,,,,External,
A69-1601-7698,7698,,,,,8/11/2014,,,V9,,,U.S. Department of the Navy,Carter Watterson,Chris Hager,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,Chesapeake Bay,,48069,900118001181162,,,Internal,
A69-1303-59764,59764,,,,,,,,V16-4H,Standard,,Riverhead Foundation for Marine Research and Preservation,Kimberly Durham,,Kemp's Ridley turtle,Lepidochelys kempii,"Long Island, NY",,,,,,,
A69-1303-59763,59763,,,,,,,,V16-4H,Standard,,Riverhead Foundation for Marine Research and Preservation,Kimberly Durham,,Kemp's Ridley turtle,Lepidochelys kempii,"Long Island, NY",,,,,,,
A69-1601-5680,5680,,,,,8/21/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-5681,5681,,,,,9/9/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-5690,5690,,,,,9/9/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-5688,5688,,,,,9/11/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-5687,5687,,,,,9/12/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-5686,5686,,,,,9/20/2014,,,V13-1L,Standard,A69-1601,Kennedy Space Center Ecological Program,Eric Reyier / Karen Holloway-Adkins,East Coast Biologists,Green Sea Turtle,Chelonia mydas,"Melbourne, FL",,,,,,,
A69-1601-13996,13996,,,,,,,,V8,,,"Environmental Research and Consulting, Inc.",Hal Brundage,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,,,,,,
A69-1601-13997,13997,,,,,,,,V8,,,"Environmental Research and Consulting, Inc.",Hal Brundage,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,,,,,,
,18,,,,,7/21/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,19,,,,,7/21/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,2982,,,,,7/21/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Bluntnose stingray,Dasyatis sayi,,,179,,,,,
,2264,,,,,7/26/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2260,,,,,7/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2263,,,,,7/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2266,,,,,7/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2267,,,,,7/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2979,,,,,8/2/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Bull shark,Carcharhinus leucus,,M00154,,,,,,
,2981,,,,,8/3/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Southern stingray,Dasystis americana,,5301,,,,,,
,2983,,,,,8/3/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Southern stingray,Dasystis americana,,5307,,,,,,
,2985,,,,,8/3/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Southern stingray,Dasystis americana,,5311,,,,,,
,2987,,,,,8/3/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Southern stingray,Dasystis americana,,5310,,,,,,
,2989,,,,,8/3/2006,,,V16-R64,,,Virginia Institute of Marine Science William and Mary,Josh Smith,,Southern stingray,Dasystis americana,,5344,,,,,,
,2304,,,,,8/16/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2305,,,,,8/16/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2306,,,,,8/16/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2307,,,,,8/16/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,surgical implant,
,2308,,,,,8/16/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Weakfish,Cynoscion regalis,"Navesink River, New Jersey",,,,,,Internal,
,143,,,,,8/19/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,144,,,,,8/19/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,147,,,,,8/19/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,148,,,,,8/19/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,2297,,,,,8/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2298,,,,,8/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2299,,,,,8/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2300,,,,,8/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2303,,,,,8/27/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2291,,,,,8/30/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2292,,,,,8/30/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2293,,,,,8/30/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2301,,,,,8/30/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2302,,,,,8/30/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2285,,,,,9/9/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2286,,,,,9/9/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2294,,,,,9/9/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2295,,,,,9/9/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2296,,,,,9/9/2006,,,V9-2L-R256,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,170,,,,,9/21/2006,,,V13P-1H-S256,,C,"Environmental Research and Consulting, Inc.",Hal Brundage,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"Delaware River, DE",,2782,4310540232,,,Internal,
,16,,,,,9/28/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,17,,,,,9/28/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,171,,,,,10/2/2006,,,V13P-1H-S256,,C,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2783,43106E4872,,,Internal,
,137,,,,,10/3/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,138,,,,,10/3/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,103,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,104,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,115,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,116,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,139,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,140,,,,,10/4/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,105,,,,,10/5/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,106,,,,,10/5/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,107,,,,,10/11/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,108,,,,,10/11/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,2950,,,,,10/12/2006,,,V9-6L-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2784,435F667C5E,,,Internal,
,109,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,110,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,111,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,112,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,113,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,114,,,,,10/13/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,117,,,,,10/17/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,118,,,,,10/17/2006,,,V13,,C,UMaine,Gayle Zydlewski,,sturgeon,Acipenser sp.,Penobscot,,,,,,,
,1069,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2800,435F6C6662,,,Internal,
,1070,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2801,435F68674D,,,Internal,
,1071,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2802,4315324563,,,Internal,
,1072,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2803,4360001241,,,Internal,
,1073,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2804,421F215B77,,,Internal,
,1074,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2805,435F5A3F10,,,Internal,
,1075,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2806,501E597606,,,Internal,
,1076,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2807,4315345B1E,,,Internal,
,1077,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2808,4310367B72,,,Internal,
,1078,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2809,421D4B682C,,,Internal,
,1079,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2810,43153B0905,,,Internal,
,1080,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2811,43152F4657,,,Internal,
,1081,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2812,4310401636,,,Internal,
,1082,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2813,4310691456,,,Internal,
,1083,,,,,11/14/2006,,,V16-5H-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2814,43106C467D,,,Internal,
,2953,,,,,12/11/2006,,,V9-6L-R04K,,B,"Environmental Research and Consulting, Inc.",Hal Brundage,,Shortnose sturgeon,Acipenser brevirostrum,"Delaware River, DE",,2815,435F726E74,,,Surgical implant,
,3269,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3270,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3271,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3272,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3273,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3274,,,,,4/13/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3275,,,,,4/24/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3276,,,,,4/24/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,2280,,,,,5/1/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2281,,,,,5/1/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2288,,,,,5/1/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2279,,,,,5/2/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2282,,,,,5/2/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2284,,,,,5/2/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Bluefish,Pomatomus saltatrix,"Navesink River, New Jersey",,,,,,surgical implant,
,2287,,,,,5/3/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Striped Bass,Morone saxatilis,"Navesink River, New Jersey",,,,,,surgical implant,
,2289,,,,,5/3/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Striped Bass,Morone saxatilis,"Navesink River, New Jersey",,,,,,surgical implant,
,2290,,,,,5/3/2007,,,V9-6L,,,NMFS/Sandy Hook,John Manderson,,Striped Bass,Morone saxatilis,"Navesink River, New Jersey",,,,,,surgical implant,
,3277,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3278,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3279,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3280,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3281,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3282,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3283,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
,3284,,,,,5/7/2007,,,V13,,D,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Cape Fear River, NC",,,,,,Surgical Implant,
